"TIPO",PARTIDA,CAPITULO,PROGRAMA,SUBTITULO,ITEM,ASIGNACION,"DESC_PARTIDA","DESC_CAPITULO","DESC_PROGRAMA","DESC_SUBTITULO","DESC_ITEM","DESC_ASIGNACION",MONTO_PESOS,MONTO_DOLAR
"GASTOS",2,1,1,23,1,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","PRESTACIONES DE SEGURIDAD SOCIAL","Prestaciones Previsionales",,93401,0
"GASTOS",2,1,1,24,1,9,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","Al Sector Privado","Aplicación Ley N° 19.672",863552,0
"GASTOS",2,1,1,24,3,1,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Personal Apoyo Senadores",2908866,0
"GASTOS",2,1,1,24,3,2,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Asesoría Externa Senadores",1381692,0
"GASTOS",2,1,1,24,3,3,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Gastos Operacionales Senadores",3839600,0
"GASTOS",2,1,1,24,3,4,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Personal Apoyo Comités",407785,0
"GASTOS",2,1,1,24,3,5,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Asesoría Externa Comités",1187076,0
"GASTOS",2,1,1,24,3,6,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Gastos Operacionales Comités",10234,0
"GASTOS",2,1,1,24,3,7,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Otras Transferencias",956152,0
"GASTOS",2,1,1,24,7,1,"CONGRESO NACIONAL","SENADO","SENADO  (01)","TRANSFERENCIAS CORRIENTES","A Organismos Internacionales","Asociación de Congresos",33949,0
"GASTOS",2,1,1,29,3,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Vehículos",,16892,0
"GASTOS",2,1,1,29,4,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Mobiliario y Otros",,27122,0
"GASTOS",2,1,1,29,5,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Máquinas y Equipos",,369968,0
"GASTOS",2,1,1,29,6,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Equipos Informáticos",,315387,0
"GASTOS",2,1,1,29,7,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Programas Informáticos",,182687,0
"GASTOS",2,1,1,29,99,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Otros Activos no Financieros",,72100,0
"GASTOS",2,1,1,31,2,,"CONGRESO NACIONAL","SENADO","SENADO  (01)","INICIATIVAS DE INVERSIÓN","Proyectos",,641133,0
"INGRESOS",2,2,1,8,1,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,107814,0
"INGRESOS",2,2,1,8,99,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","OTROS INGRESOS CORRIENTES","Otros",,53907,0
"INGRESOS",2,2,1,9,1,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","APORTE FISCAL","Libre",,61652576,0
"GASTOS",2,2,1,21,,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","GASTOS EN PERSONAL",,,31401039,0
"GASTOS",2,2,1,22,,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","BIENES Y SERVICIOS DE CONSUMO",,,6651342,0
"GASTOS",2,2,1,23,1,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","PRESTACIONES DE SEGURIDAD SOCIAL","Prestaciones Previsionales",,404830,0
"GASTOS",2,2,1,24,3,1,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Personal Apoyo Labor Parlamentaria",8155700,0
"GASTOS",2,2,1,24,3,2,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Asesoría Externa Labor Parlamentaria",3232031,0
"GASTOS",2,2,1,24,3,3,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Gastos Operacionales Labor Parlamentaria",8179713,0
"GASTOS",2,2,1,24,3,4,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Personal Apoyo Comités",1287742,0
"GASTOS",2,2,1,24,3,5,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Asesoría Externa Comités",404004,0
"GASTOS",2,2,1,24,3,6,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Gastos Operacionales Comités",32320,0
"GASTOS",2,2,1,24,3,7,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Otras Transferencias",496872,0
"GASTOS",2,2,1,24,7,2,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","TRANSFERENCIAS CORRIENTES","A Organismos Internacionales","Organismos Internacionales",28162,0
"GASTOS",2,2,1,29,3,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Vehículos",,16892,0
"GASTOS",2,2,1,29,4,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Mobiliario y Otros",,8127,0
"GASTOS",2,2,1,29,5,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Máquinas y Equipos",,47689,0
"GASTOS",2,2,1,29,6,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Equipos Informáticos",,701121,0
"GASTOS",2,2,1,29,7,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Programas Informáticos",,70246,0
"GASTOS",2,2,1,31,2,,"CONGRESO NACIONAL","CÁMARA DE DIPUTADOS","CÁMARA DE DIPUTADOS  (01)","INICIATIVAS DE INVERSIÓN","Proyectos",,696467,0
"INGRESOS",2,3,1,7,2,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","INGRESOS DE OPERACIÓN","Venta de Servicios",,4706,0
"INGRESOS",2,3,1,8,1,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,71177,0
"INGRESOS",2,3,1,9,1,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","APORTE FISCAL","Libre",,10983617,0
"INGRESOS",2,3,1,9,3,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","APORTE FISCAL","Servicio de la Deuda Externa",,157367,0
"INGRESOS",2,3,1,12,10,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","RECUPERACIÓN DE PRESTAMOS","Ingresos por Percibir",,106,0
"GASTOS",2,3,1,21,,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","GASTOS EN PERSONAL",,,8831540,0
"GASTOS",2,3,1,22,,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","BIENES Y SERVICIOS DE CONSUMO",,,1678760,0
"GASTOS",2,3,1,23,1,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","PRESTACIONES DE SEGURIDAD SOCIAL","Prestaciones Previsionales",,81074,0
"GASTOS",2,3,1,24,3,1,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","TRANSFERENCIAS CORRIENTES","A Otras Entidades Públicas","Programa Formación Cívica",120276,0
"GASTOS",2,3,1,29,2,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Edificios",,34809,0
"GASTOS",2,3,1,29,4,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Mobiliario y Otros",,10815,0
"GASTOS",2,3,1,29,5,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Máquinas y Equipos",,12360,0
"GASTOS",2,3,1,29,6,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Equipos Informáticos",,72100,0
"GASTOS",2,3,1,29,7,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Programas Informáticos",,149571,0
"GASTOS",2,3,1,31,2,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","INICIATIVAS DE INVERSIÓN","Proyectos",,68301,0
"GASTOS",2,3,1,34,2,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","SERVICIO DE LA DEUDA","Amortización Deuda Externa",,139079,0
"GASTOS",2,3,1,34,4,,"CONGRESO NACIONAL","BIBLIOTECA DEL CONGRESO","BIBLIOTECA DEL CONGRESO  (01)","SERVICIO DE LA DEUDA","Intereses Deuda Externa",,18288,0
"INGRESOS",2,4,1,9,1,,"CONGRESO NACIONAL","CONSEJO RESOLUTIVO DE ASIGNACIONES PARLAMENTARIAS","CONSEJO RESOLUTIVO DE ASIGNACIONES PARLAMENTARIAS","APORTE FISCAL","Libre",,934152,0
"GASTOS",2,4,1,21,,,"CONGRESO NACIONAL","CONSEJO RESOLUTIVO DE ASIGNACIONES PARLAMENTARIAS","CONSEJO RESOLUTIVO DE ASIGNACIONES PARLAMENTARIAS","GASTOS EN PERSONAL",,,850508,0
"GASTOS",2,4,1,22,,,"CONGRESO NACIONAL","CONSEJO RESOLUTIVO DE ASIGNACIONES PARLAMENTARIAS","CONSEJO RESOLUTIVO DE ASIGNACIONES PARLAMENTARIAS","BIENES Y SERVICIOS DE CONSUMO",,,83644,0
"INGRESOS",3,1,1,8,1,,"PODER JUDICIAL","PODER JUDICIAL","PODER JUDICIAL","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,6378597,0
"INGRESOS",3,1,1,9,1,,"PODER JUDICIAL","PODER JUDICIAL","PODER JUDICIAL","APORTE FISCAL","Libre",,292610868,0
"GASTOS",3,1,1,21,,,"PODER JUDICIAL","PODER JUDICIAL","PODER JUDICIAL","GASTOS EN PERSONAL",,,298989465,0
"INGRESOS",3,1,2,9,1,,"PODER JUDICIAL","PODER JUDICIAL","UNIDADES DE APOYO A TRIBUNALES","APORTE FISCAL","Libre",,11745118,0
"GASTOS",3,1,2,21,,,"PODER JUDICIAL","PODER JUDICIAL","UNIDADES DE APOYO A TRIBUNALES","GASTOS EN PERSONAL",,,11745118,0
"INGRESOS",3,3,1,6,1,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","RENTAS DE LA PROPIEDAD","Arriendo de Activos No Financieros",,111289,0
"INGRESOS",3,3,1,7,2,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","INGRESOS DE OPERACIÓN","Venta de Servicios",,115922,0
"INGRESOS",3,3,1,8,99,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","OTROS INGRESOS CORRIENTES","Otros",,4233059,0
"INGRESOS",3,3,1,9,1,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","APORTE FISCAL","Libre",,107350656,0
"INGRESOS",3,3,1,12,7,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","RECUPERACIÓN DE PRESTAMOS","Por Anticipos por Cambio de Residencia",,225757,0
"GASTOS",3,3,1,21,,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","GASTOS EN PERSONAL",,,10915505,0
"GASTOS",3,3,1,22,,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","BIENES Y SERVICIOS DE CONSUMO",,,63523239,0
"GASTOS",3,3,1,23,1,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","PRESTACIONES DE SEGURIDAD SOCIAL","Prestaciones Previsionales",,3908437,0
"GASTOS",3,3,1,24,1,2,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","TRANSFERENCIAS CORRIENTES","Al Sector Privado","Becas Postgrado",130020,0
"GASTOS",3,3,1,24,2,1,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","TRANSFERENCIAS CORRIENTES","Al Gobierno Central","Programa de Coordinación Reforma Judicial",5197348,0
"GASTOS",3,3,1,29,3,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Vehículos",,394387,0
"GASTOS",3,3,1,29,4,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Mobiliario y Otros",,385694,0
"GASTOS",3,3,1,29,5,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Máquinas y Equipos",,2827255,0
"GASTOS",3,3,1,29,6,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Equipos Informáticos",,857282,0
"GASTOS",3,3,1,29,7,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Programas Informáticos",,965502,0
"GASTOS",3,3,1,31,2,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","INICIATIVAS DE INVERSIÓN","Proyectos",,22706257,0
"GASTOS",3,3,1,32,7,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL  (01)","PRÉSTAMOS","Por Anticipos por Cambio de Residencia",,225757,0
"INGRESOS",3,3,2,9,1,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","APORTE FISCAL","Libre",,112552,0
"INGRESOS",3,3,2,9,3,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","APORTE FISCAL","Servicio de la Deuda Externa",,632091,0
"INGRESOS",3,3,2,14,2,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","ENDEUDAMIENTO","Endeudamiento Externo",,933063,0
"GASTOS",3,3,2,22,,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","BIENES Y SERVICIOS DE CONSUMO",,,699535,0
"GASTOS",3,3,2,29,7,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Programas Informáticos",,346080,0
"GASTOS",3,3,2,34,2,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","SERVICIO DE LA DEUDA","Amortización Deuda Externa",,584704,0
"GASTOS",3,3,2,34,4,,"PODER JUDICIAL","CORPORACIÓN ADMINISTRATIVA DEL PODER JUDICIAL","PROYECTO FORTALECIMIENTO INSTITUCIONAL","SERVICIO DE LA DEUDA","Intereses Deuda Externa",,47387,0
"INGRESOS",3,4,1,8,1,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,761,0
"INGRESOS",3,4,1,9,1,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","APORTE FISCAL","Libre",,3347822,0
"GASTOS",3,4,1,21,,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","GASTOS EN PERSONAL",,,756437,0
"GASTOS",3,4,1,22,,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","BIENES Y SERVICIOS DE CONSUMO",,,460110,0
"GASTOS",3,4,1,24,1,17,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","TRANSFERENCIAS CORRIENTES","Al Sector Privado","Programa de Formación",700008,0
"GASTOS",3,4,1,24,1,18,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","TRANSFERENCIAS CORRIENTES","Al Sector Privado","Programa de Perfeccionamiento",1107091,0
"GASTOS",3,4,1,24,1,19,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","TRANSFERENCIAS CORRIENTES","Al Sector Privado","Programa de Habilitación",108444,0
"GASTOS",3,4,1,24,1,20,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","TRANSFERENCIAS CORRIENTES","Al Sector Privado","Programa  de Perfeccionamiento Extraordinario",101879,0
"GASTOS",3,4,1,29,4,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Mobiliario y Otros",,2178,0
"GASTOS",3,4,1,29,6,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","ADQUISICIÓN DE ACTIVOS NO FINANCIEROS","Equipos Informáticos",,7039,0
"GASTOS",3,4,1,31,2,,"PODER JUDICIAL","ACADEMIA JUDICIAL","ACADEMIA JUDICIAL","INICIATIVAS DE INVERSIÓN","Proyectos",,105397,0
"INGRESOS",4,1,1,7,1,,"CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA  (01)","INGRESOS DE OPERACIÓN","Venta de Bienes",,10333,0
"INGRESOS",4,1,1,8,1,,"CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA  (01)","OTROS INGRESOS CORRIENTES","Recuperaciones y Reembolsos por Licencias Médicas",,751510,0
"INGRESOS",4,1,1,8,99,,"CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA  (01)","OTROS INGRESOS CORRIENTES","Otros",,428053,0
"INGRESOS",4,1,1,9,1,,"CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA","CONTRALORÍA GENERAL DE LA REPÚBLICA  (01)","APORTE FISCAL","Libre",,65214774,0
